Krum Server | INFO flwr 2024-03-20 13:33:35,927 | server.py:125 | fit progress: (24, 0.8378153157620305, {'accuracy': 0.5974}, 55.02680213388521)
Krum Server | DEBUG flwr 2024-03-20 13:33:35,928 | server.py:173 | evaluate_round 24: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:36,660 | server.py:187 | evaluate_round 24 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:36,660 | server.py:222 | fit_round 25: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:37,243 | server.py:236 | fit_round 25 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:37,565 | server.py:125 | fit progress: (25, 0.8285915282195123, {'accuracy': 0.6003}, 56.66443767899182)
Krum Server | DEBUG flwr 2024-03-20 13:33:37,568 | server.py:173 | evaluate_round 25: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:38,316 | server.py:187 | evaluate_round 25 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:38,316 | server.py:222 | fit_round 26: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:39,000 | server.py:236 | fit_round 26 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:39,166 | server.py:125 | fit progress: (26, 0.8406550834859913, {'accuracy': 0.6}, 58.26616649888456)
Krum Server | DEBUG flwr 2024-03-20 13:33:39,167 | server.py:173 | evaluate_round 26: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:40,172 | server.py:187 | evaluate_round 26 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:40,173 | server.py:222 | fit_round 27: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:41,037 | server.py:236 | fit_round 27 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:41,318 | server.py:125 | fit progress: (27, 0.827997220516604, {'accuracy': 0.6064}, 60.41732715093531)
Krum Server | DEBUG flwr 2024-03-20 13:33:41,319 | server.py:173 | evaluate_round 27: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:42,359 | server.py:187 | evaluate_round 27 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:42,359 | server.py:222 | fit_round 28: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:43,131 | server.py:236 | fit_round 28 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:43,442 | server.py:125 | fit progress: (28, 0.8353271755375156, {'accuracy': 0.6025}, 62.542046651942655)
Krum Server | DEBUG flwr 2024-03-20 13:33:43,445 | server.py:173 | evaluate_round 28: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:44,506 | server.py:187 | evaluate_round 28 received 190 results and 0 failures
